City,Country,lat,lon,Temp,Temp_Min,Temp_Max,Humidity,Cloud,Wind_Speed
bisira,pa,8.52,-81.71,68.72,68.72,68.72,97,88,2.04
mumford,gh,5.26,-0.76,76.28,76.28,76.28,93,0,5.95
presidente franco,py,-25.57,-54.62,71.6,71.6,71.6,100,90,2.24
mana,gf,5.67,-53.78,77.22,77.22,77.22,83,44,3.94
moindou,nc,-21.69,165.68,78.8,78.8,78.8,78,88,3.6
larap,ph,14.3,122.65,78.85,78.85,78.85,95,92,19.48
taywarah,af,33.35,64.42,13.77,13.77,13.77,56,56,2.15
gorontalo,id,0.54,123.06,78.17,78.17,78.17,82,80,2.37
vanimo,pg,-2.67,141.3,75.43,75.43,75.43,100,92,4.72
belaya gora,ru,68.54,146.19,-26.91,-26.91,-26.91,42,64,9.19
birao,cf,10.3,22.78,61.43,61.43,61.43,49,0,9.64
palora,ec,-1.7,-77.97,60.89,60.89,60.89,100,92,1.03
san luis de gaceno,co,4.82,-73.17,66.2,66.2,66.2,89,56,1.36
okhotsk,ru,59.36,143.24,-23.04,-23.04,-23.04,100,32,5.39
talnakh,ru,69.49,88.39,-45.86,-45.86,-45.86,0,44,2.59
port hardy,ca,50.7,-127.42,42.8,42.8,42.8,87,90,21.92
aklavik,ca,68.22,-135.01,19.4,19.4,19.4,92,90,2.24
aykhal,ru,65.95,111.51,-61.15,-61.15,-61.15,0,8,2.71
quatre cocos,mu,-20.21,57.76,78.8,78.8,78.8,88,75,13.87
dibulla,co,11.27,-73.31,80.15,80.15,80.15,90,64,14.9
barreiras,br,-12.14,-45,74.12,74.12,74.12,71,20,2.71
butaritari,ki,3.07,172.79,83.48,83.48,83.48,98,80,19.26
gruiu,ro,44.23,26.42,30.18,28.4,32,80,0,2.24
port lincoln,au,-34.72,135.86,78.62,78.62,78.62,65,0,10.09
mbuji-mayi,cd,-6.13,23.6,68.18,68.18,68.18,100,80,1.59
vaitape,pf,-16.52,-151.75,83.7,83.7,83.7,97,88,22.39
hambantota,lk,6.12,81.12,75.2,75.2,75.2,100,0,16.24
bilibino,ru,68.06,166.44,-29.43,-29.43,-29.43,46,32,4.16
ojinaga,mx,29.57,-104.42,48.92,48.92,48.92,35,0,2.59
hamilton,bm,32.3,-64.78,66.2,66.2,66.2,72,90,31.09
maizuru,jp,35.47,135.35,42.98,42.98,42.98,85,48,7.74
hohhot,cn,40.81,111.65,3.2,3.2,3.2,65,0,4.47
shijak,al,41.34,19.57,33.8,33.8,33.8,69,0,5.82
laguna de perlas,ni,12.34,-83.67,78.8,78.8,78.8,83,75,4.7
cururupu,br,-1.82,-44.87,77.9,77.9,77.9,86,24,6.29
westport,ie,53.8,-9.52,40.86,40.86,40.86,98,64,19.37
ambulu,id,-8.35,113.61,75.2,75.2,75.2,100,92,7.4
ushumun,ru,52.78,126.54,-12.15,-12.15,-12.15,76,68,5.84
sisimiut,gl,66.94,-53.67,-18.45,-18.45,-18.45,100,0,6.06
lokosovo,ru,61.13,74.84,-23.58,-23.58,-23.58,72,0,6.62
liverpool,ca,44.04,-64.71,30.7,30.7,30.7,100,0,11.77
xichang,cn,27.88,102.25,27.05,27.05,27.05,87,88,1.92
wajima,jp,37.4,136.9,41.5,41.5,41.5,100,0,9.86
baculin,ph,7.45,126.58,77.99,77.99,77.99,99,36,7.29
atbasar,kz,51.81,68.36,-11.16,-11.16,-11.16,55,56,5.61
billings,us,45.79,-108.5,44.6,44.6,44.6,48,75,14.99
klaksvik,fo,62.23,-6.59,28.4,28.4,28.4,100,8,2.24
hudiksvall,se,61.73,17.1,19.17,19.17,19.17,100,24,7.4
trat,th,12.25,102.51,77.99,77.99,77.99,100,0,6.96
petatlan,mx,17.52,-101.27,80.19,80.19,80.19,86,12,5.95
makakilo city,us,21.35,-158.09,80.19,77,82.4,61,40,16.11
high level,ca,58.52,-117.13,26.6,26.6,26.6,100,90,3.36
namatanai,pg,-3.66,152.44,83.25,83.25,83.25,100,44,7.74
oranjemund,na,-28.55,16.43,63.81,63.81,63.81,92,92,9.64
dabola,gn,10.74,-11.11,63.72,63.72,63.72,57,0,5.06
flin flon,ca,54.77,-101.88,12.2,12.2,12.2,85,90,5.82
yinchuan,cn,38.48,106.21,-0.41,-0.41,-0.41,58,0,2.93
maraba,br,-5.35,-49.1,84.2,84.2,84.2,74,20,2.24
ust-nera,ru,64.57,143.24,-61.47,-61.47,-61.47,0,20,1.7
skeldon,gy,5.88,-57.13,77.76,77.76,77.76,100,32,10.76
tonantins,br,-2.86,-67.77,81.77,81.77,81.77,82,80,2.15
cabedelo,br,-6.97,-34.84,77,77,77,88,75,3.36
kutum,sd,14.2,24.66,45.23,45.23,45.23,38,8,8.52
yamada,jp,36.58,137.08,38.16,37.4,39.2,86,75,2.24
robore,bo,-18.33,-59.76,89.6,89.6,89.6,62,20,6.93
west wendover,us,40.74,-114.07,39.2,39.2,39.2,64,1,3.36
caravelas,br,-17.73,-39.27,80.37,80.37,80.37,100,8,13.67
wanaka,nz,-44.7,169.14,72.5,72.5,72.5,45,0,2.82
zhangjiakou,cn,40.77,114.88,3.83,3.83,3.83,64,0,4.72
asuncion,py,-25.3,-57.63,82.4,82.4,82.4,69,75,6.93
dubove,ua,48.18,23.89,23.4,23.4,23.4,87,92,4.72
tocopilla,cl,-22.09,-70.2,64,64,64,85,0,4.94
kamina,cd,-8.74,25,64.18,64.18,64.18,95,92,2.93
uniontown,us,39.9,-79.72,23.97,19.4,26.6,52,1,10.29
raudeberg,no,61.99,5.14,31.44,28.4,35.6,69,88,14.99
mackay,au,-21.15,149.2,82.4,82.4,82.4,51,75,16.11
cap malheureux,mu,-19.98,57.61,78.8,78.8,78.8,88,75,13.87
dingle,ie,52.14,-10.27,46.45,46.45,46.45,96,88,24.52
barbosa ferraz,br,-24.03,-52.01,71.78,71.78,71.78,95,64,3.49
mau,in,25.94,83.57,46.45,46.45,46.45,85,0,2.71
bamnet narong,th,15.5,101.69,67.73,67.73,67.73,69,12,6.29
chuy,uy,-33.69,-53.46,69.17,69.17,69.17,90,0,7.96
glendive,us,47.11,-104.71,38.46,35.6,41,69,1,10.29
benguela,ao,-12.58,13.4,75.2,75.2,75.2,100,92,2.71
orlik,ru,52.51,99.83,-9.72,-9.72,-9.72,54,32,5.95
severobaykalsk,ru,55.65,109.32,-37.26,-37.26,-37.26,66,0,2.82
evensk,ru,61.92,159.24,-20.88,-20.88,-20.88,100,0,7.18
tateyama,jp,36.66,137.31,39.2,39.2,39.2,86,75,2.24
tumba,se,59.2,17.83,26.6,26.6,26.6,92,56,3.36
karasburg,na,-28.01,18.75,68.85,68.85,68.85,62,64,6.51
ovalle,cl,-30.6,-71.2,67.77,67.77,67.77,81,0,2.93
maragogi,br,-9.01,-35.22,77.68,77.68,77.68,89,100,6.51
havoysund,no,71,24.66,20.62,17.6,23,67,0,2.24
el reno,us,35.53,-97.96,49.21,48.2,50,23,1,20.8
tilichiki,ru,60.47,166.1,-5.81,-5.81,-5.81,85,88,4.5
zhigansk,ru,66.77,123.37,-39.73,-39.73,-39.73,86,44,5.39
terra nova,br,-12.41,-38.62,80.6,80.6,80.6,74,40,13.87
makinsk,kz,52.63,70.42,-7.38,-7.38,-7.38,60,24,2.59
yerbogachen,ru,61.28,108.01,-44.1,-44.1,-44.1,0,24,2.82
arroio grande,br,-32.24,-53.09,72.55,72.55,72.55,100,0,13.33
sagua la grande,cu,22.81,-80.07,68,68,68,68,75,12.75
viedma,ar,-40.81,-62.99,73.49,73.49,73.49,50,0,0.69
kiunga,pg,-6.12,141.3,74.61,74.61,74.61,95,92,2.82
kuching,my,1.56,110.34,75.2,75.2,75.2,100,75,2.24
ileza,ru,61.05,43.9,15.62,15.62,15.62,84,88,13.78
bonfim,br,-20.33,-44.24,80.6,80.6,80.6,34,0,6.93
agirish,ru,61.92,63.02,-10.03,-10.03,-10.03,71,36,2.59
cruz alta,br,-28.65,-53.61,72.95,72.95,72.95,75,92,7.52
bajil,ye,15.06,43.29,57.96,57.96,57.96,84,0,2.26
corpus christi,us,27.8,-97.4,45.27,42.8,46.4,100,90,12.75
bukama,cd,-9.2,25.85,67.28,67.28,67.28,96,92,3.15
port augusta,au,-32.49,137.76,96.8,96.8,96.8,14,0,9.17
kloulklubed,pw,7.04,134.26,76.91,75.2,78.8,94,90,14.45
whitehorse,ca,60.72,-135.06,10.4,10.4,10.4,92,20,2.26
normandin,ca,48.84,-72.53,14,14,14,66,75,3.36
mahajanga,mg,-15.72,46.32,80.6,80.6,80.6,78,75,5.39
hami,cn,42.84,93.51,3.38,3.38,3.38,52,68,4.61
visby,se,57.64,18.3,28.4,28.4,28.4,100,80,8.05
dunyapur,pk,29.8,71.74,48.2,48.2,48.2,81,0,2.82
prieska,za,-29.67,22.74,64.71,64.71,64.71,80,56,2.15
bossangoa,cf,6.5,17.45,59.18,59.18,59.18,55,0,2.82
verkhoyansk,ru,67.55,133.39,-51.17,-51.17,-51.17,0,64,2.37
gorodovikovsk,ru,46.08,41.93,20.57,20.57,20.57,90,80,16.69
richards bay,za,-28.77,32.06,72,72,72,79,20,10.2
penzance,gb,50.12,-5.53,41,41,41,93,40,8.05
agadez,ne,16.97,7.99,52.34,52.34,52.34,46,0,5.61
hobyo,so,5.35,48.53,74.93,74.93,74.93,91,92,16.69
